Year,State,AI_AN_Population,AI_AN_With_Disability,Disability_Rate
2015,Arizona,353000,56480,0.16
2015,New Mexico,219000,35040,0.16
2015,Oklahoma,482000,77120,0.16
2015,Alaska,119000,19040,0.16
2015,Montana,76000,12160,0.16
2016,Arizona,354000,56640,0.16
2016,New Mexico,220000,35200,0.16
2016,Oklahoma,483000,77280,0.16
2016,Alaska,120000,19200,0.16
2016,Montana,77000,12320,0.16
2017,Arizona,355000,56800,0.16
2017,New Mexico,221000,35360,0.16
2017,Oklahoma,484000,77440,0.16
2017,Alaska,121000,19360,0.16
2017,Montana,78000,12480,0.16
2018,Arizona,356000,56960,0.16
2018,New Mexico,222000,35520,0.16
2018,Oklahoma,485000,77600,0.16
2018,Alaska,122000,19520,0.16
2018,Montana,79000,12640,0.16
2019,Arizona,357000,57120,0.16
2019,New Mexico,223000,35680,0.16
2019,Oklahoma,486000,77760,0.16
2019,Alaska,123000,19680,0.16
2019,Montana,80000,12800,0.16
2020,Arizona,358000,57280,0.16
2020,New Mexico,224000,35840,0.16
2020,Oklahoma,487000,77920,0.16
2020,Alaska,124000,19840,0.16
2020,Montana,81000,12960,0.16
